University name
"270","Allan Hancock College"
"271","Allegany College of Maryland"
"272","Allegheny College"
"273","Allegheny General Hospital"
"274","Allegheny Wesleyan College"
"275","Allegro Music College"
"276","Allen College"
"277","Allen County Community College"
"278","Allen School - Jamaica"
"279","Allen University"
"280","Allendale Association"
"281","Allentown Career Institute"
"282","Alliance Career Centre"
"283","Alliance City Schools Career Centre"
"284","Alliance Computing Solutions (ACS)"
"285","Alliant International University"
"286","Allied American University"
"287","Allied Business Schools"
"288","Allied Career Center"
"289","Allied Career Center - Dallas"
"290","Allied Health Careers Institute"
"291","Allied Medical & Health Services, Inc."
"292","Allied Medical and Technical Institute"
"293","Allied Schools"
"294","Allina CPE Center"
"295","Allstate Commercial Driver Training school"
"296","Allstate Hairstyling & Barber College"
"297","Allura Academy of Beauty, Ruston"
"298","Allure School of Cosmetology"
"299","Alma College"
"300","Alpena Community College"
"301","Alpha Institute of the Treasure Coast"
"302","Alpine College"
"303","ALPS Language School"
"304","Alta Bates Summit Medical Center"
"305","Altamaha Technical College"
"306","Altoona Beauty School Inc"
"307","Altru Health System"
"308","Alvareita's College of Cosmetology"
"309","Alvareita's College of Cosmetology"
"310","Alvareita's College of Cosmetology"
"311","Alvernia University"
"312","Alverno College"
"313","Alvin Community College"
"314","Amarillo College"
"315","Amarillo VA Healthcare System"
"316","Amberton University"
"317","Ambiance Beauty & Barber Academy"
"318","Ambria College of Nursing"
"319","America Evangelical University"
"320","American Academy McAllister Institute of Funeral Services"
"321","American Academy of Acupuncture and Oriental Medicine"
"322","American Academy of Art"
"323","American Academy of Cosmetology, Inc."
"324","American Academy of Dramatic Arts"
"325","American Academy of English"
"326","American Academy of Hair Design"
"327","American Advanced Institute of Technology"
"328","American Advanced Technicians Institute"
"329","American Baptist College"
"330","American Baptist Seminary of the West"
"331","American Barber Academy"
"332","American Barber Institute"
"333","American Barber Institute Inc"
"334","American Beauty Academy - Wheaton"
"335","American Beauty Academy, LLC - Payson"
"336","American Beauty College"
"337","American Beauty College"
"338","American Beauty Institute"
"339","American Beauty School"
"340","American Beauty Schools"
"341","American Broadcasting School"
"342","American Business and Technology University"
"343","American Career College"
"344","American Career College"
"345","American Career College at St. Francis"
"346","American Career College of Hair Design"
"347","American Career Institute"
"348","American Career Institute - Framingham"
"349","American Christian College & Seminary"
"350","American College of Acupuncture and Oriental Medicine"
"351","American College of Barbering"
"352","American College of California"
"353","American College of Education"
"354","American College of Hair Design Inc"
